"country","admin_level","demand_value","marginal_fnrb","NRB_2020_2030_1MC","Harv_2020_2030_1MC","fNRB_2020_2030_1MC"
"Angola","Adm0",-30,25.863252265749,20444379.8129132,85377793.5034522,24
"Angola","Adm0",-20,26.7306531042466,23598544.0183618,97573337.0995903,24
"Angola","Adm0",-10,27.2996149334958,26823757.8599094,109767745.094569,24
"Angola","Adm0",0,27.8974065988756,30117508.8542316,121960937.396697,25
"Angola","Adm0",10,28.5094336349381,33481123.7340425,134154044.646233,25
"Angola","Adm0",20,28.8101873852154,36919921.7745892,146344612.259979,25
"Angola","Adm0",30,28.8101873852154,40432061.8745011,158535230.991304,26
"Angola Charcoal And Urban Fw Only","Adm0",-30,25.863252265749,20444379.8129132,85377793.5034522,24
"Angola Charcoal And Urban Fw Only","Adm0",-20,26.7306531042466,23598544.0183618,97573337.0995903,24
"Angola Charcoal And Urban Fw Only","Adm0",-10,27.2996149334958,26823757.8599094,109767745.094569,24
"Angola Charcoal And Urban Fw Only","Adm0",0,27.8974065988756,30117508.8542316,121960937.396697,25
"Angola Charcoal And Urban Fw Only","Adm0",10,28.5094336349381,33481123.7340425,134154044.646233,25
"Angola Charcoal And Urban Fw Only","Adm0",20,28.8101873852154,36919921.7745892,146344612.259979,25
"Angola Charcoal And Urban Fw Only","Adm0",30,28.8101873852154,40432061.8745011,158535230.991304,26
"Angola Rural Fw Only","Adm0",-30,24.510823431395,6667797.78650665,27852735.9338964,24
"Angola Rural Fw Only","Adm0",-20,24.7660148096104,7643074.2045517,31831698.2106017,24
"Angola Rural Fw Only","Adm0",-10,24.9502618300615,8624985.55034757,35810660.4870888,24
"Angola Rural Fw Only","Adm0",0,25.1497084253061,9613934.00729847,39789618.8445746,24
"Angola Rural Fw Only","Adm0",10,25.362445547748,10610503.8937781,43768566.3277332,24
"Angola Rural Fw Only","Adm0",20,25.4715483674567,11615316.8605728,47747495.8085099,24
"Angola Rural Fw Only","Adm0",30,25.4715483674567,12628749.2144846,51726179.5512171,24
"Dr Congo","Adm0",-30,38.0162512900253,125363102.814403,353733393.235336,35
"Dr Congo","Adm0",-20,38.9953224951063,144571422.330178,404259994.002032,36
"Dr Congo","Adm0",-10,39.6349559552134,164107897.899277,454780542.241665,36
"Dr Congo","Adm0",0,40.2697568627502,183969963.355416,505294011.685005,36
"Dr Congo","Adm0",10,40.9177553679229,204148594.903039,555804237.206804,37
"Dr Congo","Adm0",20,41.2455547778705,224646672.112179,606304576.251858,37
"Dr Congo","Adm0",30,41.2455547778705,245474328.331962,656801305.734468,37
"Gambia","Adm0",-30,65.20888401265,5530532,11259599,49
"Gambia","Adm0",-20,72.5079048215416,7042548,13578326,52
"Gambia","Adm0",-10,78.2527679005394,8549427,15734184,54
"Gambia","Adm0",0,84.8905250420762,10036949,17708084,57
"Gambia","Adm0",10,93.2307671770006,11465140,19460203,59
"Gambia","Adm0",20,98.8041874847302,12802493,20965861,61
"Gambia","Adm0",30,98.8041874847302,13979323,22156934,63
"Ghana","Adm0",-30,49.3985258240166,55312855.7328713,183568155.084761,30
"Ghana","Adm0",-20,60.246079260512,68205762.1259555,209667934.740161,33
"Ghana","Adm0",-10,67.9913241968234,82915851.6847538,235705888.103446,35
"Ghana","Adm0",0,76.1379061527636,99490474.2441256,261596147.334529,38
"Ghana","Adm0",10,84.571091498091,117971548.806233,287264962.05235,41
"Ghana","Adm0",20,88.8841386130045,138365002.809782,312654195.197913,44
"Ghana","Adm0",30,88.8841386130045,160590897.122309,337659662.60678,48
"Honduras","Adm0",-30,33.7884511309225,8832479.22167249,30806326.763216,29
"Honduras","Adm0",-20,35.7659209652502,10315738.1123881,35196166.6081036,29
"Honduras","Adm0",-10,37.1214426407368,11854923.5141764,39583264.5045107,30
"Honduras","Adm0",0,38.4846540984677,13452204.9731849,43965595.0923978,31
"Honduras","Adm0",10,39.8854381203231,15107100.0945092,48344175.5817216,31
"Honduras","Adm0",20,40.5972584156272,16821669.7494318,52720941.4900183,32
"Honduras","Adm0",30,40.5972584156272,18596685.6755771,57093197.143277,33
"India","Adm0",-30,4.21825723089477,88387357,984576407,9
"India","Adm0",-20,5.08366175027795,94315801,1125118903,8
"India","Adm0",-10,5.49620586973784,101139284,1265472085,8
"India","Adm0",0,5.84172303664452,108584006,1405786770,8
"India","Adm0",10,6.16148600104357,116560465,1546050749,8
"India","Adm0",20,6.32616009677228,124964085,1686184846,7
"India","Adm0",30,6.32616009677228,133827587,1826293567,7
"Ivory Coast","Adm0",-30,13.3680021893919,9627100.98631729,80728359.893416,12
"Ivory Coast","Adm0",-20,14.1566252318678,11168734.0597142,92260622.1683299,12
"Ivory Coast","Adm0",-10,14.7703980114672,12767503.1557324,103792477.493833,12
"Ivory Coast","Adm0",0,15.4523624313167,14433746.3511518,115324115.324084,13
"Ivory Coast","Adm0",10,16.2184042208835,16173968.8244372,126855266.093437,13
"Ivory Coast","Adm0",20,16.6235773413781,17997211.8009674,138385090.405756,13
"Ivory Coast","Adm0",30,16.6235773413781,19913667.2004385,149913628.217535,13
"Kenya","Adm0",-30,37.2504978890116,51138539.8047585,185597946.588559,28
"Kenya","Adm0",-20,42.8478232029582,60961628.958589,211968303.25627,29
"Kenya","Adm0",-10,47.103802740739,71700642.447895,238267182.873389,30
"Kenya","Adm0",0,51.8411866782792,83455662.1691979,264465796.779012,32
"Kenya","Adm0",10,49.3494384664994,96322960.7951484,290539646.909415,33
"Kenya","Adm0",20,51.8411866782792,110403660.561302,316447628.443747,35
"Kenya","Adm0",30,51.8411866782792,83455662.1691979,264465796.779012,32
"Malawi","Adm0",-30,55.8081801694987,88624930,122908082,72
"Malawi","Adm0",-20,16.1776422378006,96099660,136301692,71
"Malawi","Adm0",-10,-225.761133949799,100904875,147788730,68
"Malawi","Adm0",0,1637.27008334217,98704825,152405182,65
"Malawi","Adm0",10,2027.92843950636,91436663,151982637,60
"Malawi","Adm0",20,2924.00127172012,84039715,151509477,55
"Malawi","Adm0",30,2924.00127172012,76866058,151264140,51
"Malawi Charcoal And Urban Fw Only","Adm0",-30,76.6760692069644,44968112.3269092,82639269.5742524,54
"Malawi Charcoal And Urban Fw Only","Adm0",-20,83.6785339716904,53622743.4548739,93926534.5807619,57
"Malawi Charcoal And Urban Fw Only","Adm0",-10,87.8579994409203,62616919.8957555,104961456.539654,60
"Malawi Charcoal And Urban Fw Only","Adm0",0,91.9060653225175,71834070.4444021,115689973.93032,62
"Malawi Charcoal And Urban Fw Only","Adm0",10,95.8123672656457,81184427.4529322,126094998.932299,64
"Malawi Charcoal And Urban Fw Only","Adm0",20,97.6884205009472,90666637.5284151,136181077.556534,67
"Malawi Charcoal And Urban Fw Only","Adm0",30,97.6884205009472,100117600.019389,145855676.083677,69
"Malawi Rural Fw Only","Adm0",-30,57.878817626822,15588762.4267164,47223387.1341091,33
"Malawi Rural Fw Only","Adm0",-20,65.000634960757,19293989.0460623,53625084.2856225,36
"Malawi Rural Fw Only","Adm0",-10,69.2369738886683,23204022.6507764,59851006.8337637,39
"Malawi Rural Fw Only","Adm0",0,72.8630259048039,27251947.3271225,65867977.4294582,41
"Malawi Rural Fw Only","Adm0",10,75.6995352523669,31392171.2871492,71677272.7383643,44
"Malawi Rural Fw Only","Adm0",20,76.9478878229204,35570847.6138365,77285153.9513099,46
"Malawi Rural Fw Only","Adm0",30,76.9478878229204,39667639.3435441,82609265.951805,48
"Mauritania","Adm0",-30,63.6912675083204,3893121,6808262,57
"Mauritania","Adm0",-20,77.2108820880186,4512588,7780871,58
"Mauritania","Adm0",-10,68.1489006110886,5149169,8753480,59
"Mauritania","Adm0",0,80.0717294082388,17025941.3908103,23987593.4883474,71
"Mauritania","Adm0",10,71.7111912392339,6474813,10698697,61
"Mauritania","Adm0",20,72.554849893431,7164077,11671306,61
"Mauritania","Adm0",30,72.554849893431,7869752,12643915,62
"Mozambique","Adm0",-30,33.5699255225347,57003345,183660578,31
"Mozambique","Adm0",-20,34.7106785758788,65810657,209896299,31
"Mozambique","Adm0",-10,35.5101363123692,74814135,236131279,32
"Mozambique","Adm0",0,36.3315501921358,84022912,262365037,32
"Mozambique","Adm0",10,37.1790243113834,93444506,288596217,32
"Mozambique","Adm0",20,37.6124399680877,103081984,314823773,33
"Mozambique","Adm0",30,37.6124399680877,112946555,341050657,33
"Mozambique Charcoal And Urban Fw Only","Adm0",-30,35.8978532691117,42366637.8094612,124105684.280261,34
"Mozambique Charcoal And Urban Fw Only","Adm0",-20,36.6261483496537,48730471.473752,141833300.515649,34
"Mozambique Charcoal And Urban Fw Only","Adm0",-10,37.1249712753736,55180764.7635276,159561604.818162,35
"Mozambique Charcoal And Urban Fw Only","Adm0",0,37.6315226185911,61716007.2808267,177287576.742315,35
"Mozambique Charcoal And Urban Fw Only","Adm0",10,38.1314021492059,68342943.3354369,195015311.904638,35
"Mozambique Charcoal And Urban Fw Only","Adm0",20,38.3814831007179,75057010.3470348,212739246.347672,35
"Mozambique Charcoal And Urban Fw Only","Adm0",30,38.3814831007179,81858725.2821786,230460591.08387,36
"Mozambique Rural Fw Only","Adm0",-30,23.2376113066654,13521812.9185398,60430896.8393929,22
"Mozambique Rural Fw Only","Adm0",-20,23.6118703723049,15527907.737638,69063861.7023639,22
"Mozambique Rural Fw Only","Adm0",-10,23.8766113647904,17555154.6168921,77696780.9592402,23
"Mozambique Rural Fw Only","Adm0",0,24.1534702958872,19604705.8708019,86329745.636513,23
"Mozambique Rural Fw Only","Adm0",10,24.4433553717458,21677642.8107917,94962581.9178252,23
"Mozambique Rural Fw Only","Adm0",20,24.592003983836,23774945.6252694,103595338.130597,23
"Mozambique Rural Fw Only","Adm0",30,24.592003983836,25897912.167874,112228089.426506,23
"Niger","Adm0",-30,66.2538651168459,59029282,86515290,68
"Niger","Adm0",-20,43.6286088774302,66384910,97617477,68
"Niger","Adm0",-10,23.6820383626094,71894965,108138765,66
"Niger","Adm0",0,0.405552237078376,75320601,118098742,64
"Niger","Adm0",10,-21.2725337819775,76419507,127244139,60
"Niger","Adm0",20,-30.7435956921274,75391096,135481213,56
"Niger","Adm0",30,-30.7435956921274,73041525,143123686,51
"Senegal","Adm0",-30,64.5551170562109,49252355,81155956,61
"Senegal","Adm0",-20,67.360059798743,56011146,91625755,61
"Senegal","Adm0",-10,70.0408919344719,62928901,102093808,62
"Senegal","Adm0",0,72.9508073768048,70108844,112554623,62
"Senegal","Adm0",10,76.0692008942114,77605619,123048307,63
"Senegal","Adm0",20,77.6781640514892,85476842,133620871,64
"Senegal","Adm0",30,77.6781640514892,93744129,144263871,65
"Tanzania","Adm0",-99,45.9063428829478,2453982,5651102,43
"Tanzania","Adm0",-95,54.6829027035195,12828978,28251456,45
"Tanzania","Adm0",-85,58.0231582401844,12828978,28251456,45
"Tanzania","Adm0",-75,61.6616248743482,74462222,140961720,53
"Tanzania","Adm0",-50,63.1925041467715,158813710,279848812,57
"Tanzania","Adm0",-25,64.9861019331856,243145878,414525150,59
"Tanzania","Adm0",-15,66.1299006457773,276858540,466650762,59
"Tanzania","Adm0",-10,66.8998235118723,293668612,492269056,60
"Tanzania","Adm0",-5,67.4619774740801,310671481,517781855,60
"Tanzania","Adm0",0,67.8933570124297,327417958,542716642,60
"Tanzania","Adm0",5,67.8934663406347,343852913,566967238,61
"Tanzania","Adm0",10,67.793853289766,359674650,590227464,61
"Tanzania","Adm0",15,63.10536536435,374710450,612417174,61
"Tanzania","Adm0",25,60.8053183398152,404340696,656112561,62
"Tanzania","Adm0",50,60.8053183398152,458697223,745506924,62
"Tanzania Charcoal Urban Fw Only","Adm0",-30,60.9930044756164,144548826.364238,279052690.635201,52
"Tanzania Charcoal Urban Fw Only","Adm0",-20,63.7865481063458,168712369.034308,318669598.963975,53
"Tanzania Charcoal Urban Fw Only","Adm0",-10,65.6645761745214,193536489.964414,358166043.908727,54
"Tanzania Charcoal Urban Fw Only","Adm0",0,67.5774364349565,218996828.000232,397501986.761617,55
"Tanzania Charcoal Urban Fw Only","Adm0",10,69.4715362752475,245062216.839055,436634115.853176,56
"Tanzania Charcoal Urban Fw Only","Adm0",20,70.3987945347038,271799485.364026,475638507.099462,57
"Tanzania Charcoal Urban Fw Only","Adm0",30,70.3987945347038,299107011.48003,514428270.896543,58
"Tanzania-Rural Fw-Only","Adm0",-30,41.9126596582302,45676164.9675817,116910192.029817,39
"Tanzania-Rural Fw-Only","Adm0",-20,42.2136888761786,52636724.6465991,133517488.57405,39
"Tanzania-Rural Fw-Only","Adm0",-10,42.6656892739288,59619435.1672056,150129283.658813,40
"Tanzania-Rural Fw-Only","Adm0",0,43.3061250302562,66665555.3152849,166750383.026452,40
"Tanzania-Rural Fw-Only","Adm0",10,44.0781656337446,73794950.6375775,183353909.140333,40
"Tanzania-Rural Fw-Only","Adm0",20,44.4830354250009,81037938.4913405,199938259.258773,41
"Tanzania-Rural Fw-Only","Adm0",30,44.4830354250009,88409056.1258004,216508885.710036,41
"Uganda","Adm0",0,NA,169970638.095028,413796302.939064,41
"Zambia","Adm0",-30,46.9489086583616,59814085.2140461,151693950.625111,39
"Zambia","Adm0",-20,49.8892889700039,69978102.5571753,173343053.093266,40
"Zambia","Adm0",-10,51.7591089572165,80565007.804709,194977860.414996,41
"Zambia","Adm0",0,53.5891865785312,91555267.2978162,216593147.825252,42
"Zambia","Adm0",10,55.3565585148332,102931628.076578,238190776.406956,43
"Zambia","Adm0",20,56.2090861060875,114694066.762371,259771260.690702,44
"Zambia","Adm0",30,56.2090861060875,126810752.979706,281327715.450465,45
"Zambia Vehicle Only","Adm0",-30,46.7164030358219,50640529.6001099,124377407.301451,41
"Zambia Vehicle Only","Adm0",-20,49.1009826231844,58929154.630033,142119837.136144,41
"Zambia Vehicle Only","Adm0",-10,50.6057559812168,67495790.0145436,159852333.89781,42
"Zambia Vehicle Only","Adm0",0,52.0968489759531,76339148.6106034,177577363.748554,43
"Zambia Vehicle Only","Adm0",10,53.5521759964578,85416160.4989073,195264057.597808,44
"Zambia Vehicle Only","Adm0",20,54.233097965558,94770224.5760802,212955848.873411,45
"Zambia Vehicle Only","Adm0",30,54.233097965558,104349725.400687,230619418.14008,45
"Zambia Walking Only","Adm0",-30,25.6515676096998,6985341.38571,28034492.9886251,25
"Zambia Walking Only","Adm0",-20,25.9739221163085,8012668.08896279,32039420.5582927,25
"Zambia Walking Only","Adm0",-10,26.2038084747436,9048435.00897694,36044348.1270777,25
"Zambia Walking Only","Adm0",0,26.447927380106,10093141.6249857,40049275.6995639,25
"Zambia Walking Only","Adm0",10,26.708267748755,11147321.9140975,44054202.5234093,25
"Zambia Walking Only","Adm0",20,26.8427671337692,12211582.2948899,48059130.8366348,25
"Zambia Walking Only","Adm0",30,26.8427671337692,13286614.3387567,52064053.423451,26
